"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"011.1750","011.1750","","Offutt AFB, HF-GCS","Landelijk","Analoog"
"031.37500","031.37500","","Operational Control Center (Primary)","Vliegbasis Gilze Rijen","Analoog"
"039.80000","039.80000","","PAGING Oproepsysteem ","Landelijk","Overige"
"040.27500","040.27500","","301 Sqn Tactical","Vliegbasis Gilze Rijen","Analoog"
"040.65000","040.65000","","300 Sqn Tactical","Vliegbasis Gilze Rijen","Analoog"
"041.12500","041.12500","","Operational Control Center (Secondary)","Vliegbasis Gilze Rijen","Analoog"
"046.25000","046.25000","","298 Sqn Ops ","Vliegbasis Gilze Rijen","Analoog"
"048.95000","048.95000","","301 Sqn Tactical","Vliegbasis Gilze Rijen","Analoog"
"050.80000","050.80000","","298 Sqn Tactical","Vliegbasis Gilze Rijen","Analoog"
"057.15000","057.15000","","300 Sqn Ops ","Vliegbasis Gilze Rijen","Analoog"
"058.55000","058.55000","","301 Sqn Ops ","Vliegbasis Gilze Rijen","Analoog"
"084.39500","074.39500","","Rode Kruis kanaal RA2","Landelijk","Analoog"
"084.49500","074.49500","","Rode Kruis kanaal RA3","Landelijk","Analoog"
"1.890000","1.89000","","Kortegolf (HF) Kustwacht  (Navigatie en Meteo)","Appingedam",""
"10368.432000","10368.43200","","PI7HVN zendamateur bakenzender","Heerenveen",""
"10368.920000","10368.92000","","PI7ALK zendamateur bakenzender","Alkmaar",""
"10368.925000","","","ON0GHZ zendamateur baken (FSK)","Tielt",""
"105.80000","105.80000","","TT Circuit Baancommentaar","Assen","Analoog"
"108.150000","108.15000","","ILS Localizer","Luchtmachtbasis Woensdrecht",""
"111.900000","111.90000","","ILS Localizer","Vliegbasis Gilze Rijen","Overige"
"118.050000","118.05000","","Ground Brussels Airport","Zaventem","Analoog"
"118.075000","118.07500","","Schiphol Approach / Departure (Back-Up)","Schiphol",""
"118.09166","118.09166","","Frisbee Precision Approach Radar","NATO Base Geilenkirchen","Analoog"
"118.100000","118.10000","","Schiphol Tower Primary RWY 18C/36C","Schiphol",""
"118.11666","118.11666","","Gemini windmolenpark BG-OHVS2 Heliport (EHHW)","","Analoog"
"118.14166","118.14166","","Airport Teuge Nationaal Paracentrum Teuge","Teuge","Analoog"
"118.175000","118.17500","","Tower","Luchthaven Oostende-Brugge",""
"118.175000","118.17500","","Flugplatz Oldenburg-Hatten (EDWH)","Oldenburg-Hatten",""
"118.20000","118.20000","","Rotterdam Tower","Rotterdam","Analoog"
"118.20000","118.20000","","Hamburg Director","Hamburg","Analoog"
"118.23333","118.23333","","Munchen UAC","Landelijk","Analoog"
"118.25000","118.25000","","Celle Tower","Celle Army Base","Analoog"
"118.250000","118.25000","","Arrival (North/South/West) Brussels Airport","Zaventem","Analoog"
"118.275000","118.27500","","Schiphol Tower Primary RWY 18R/36L","Schiphol",""
"118.30000","118.30000","","Dusseldorf Tower","Dusseldorf","Analoog"
"118.32500","118.32500","","Vliegveld Kiewit / Hasselt Radio","Hasselt","Analoog"
"118.325000","118.32500","","Oostwold Radio (Aerodrome Information)","Oostwold","Analoog"
"118.350000","118.35000","","Ameland Radio (Aerodrome Information)","Ameland","Analoog"
"118.400000","118.40000","","Schiphol Arrival (Primary)","Schiphol",""
"118.475000","118.47500","","London Control (Sector 14 Clacton West below FL 245)","Landelijk","Analoog"
"118.48333","118.48333","","Fokker Four Formation","Lelystad Airport","Analoog"
"118.48333","118.48333","","Air Combat Europe","Lelystad Airport","Analoog"
"118.575000","118.57500","","Mil CAPP Schiphol (RAPCON North Backup)","Vliegbasis Leeuwarden","Analoog"
"118.600000","118.60000","","Tower Rwy 07R/25L Brussels Airport","Zaventem","Analoog"
"118.600000","118.60000","","Flugplatz Emden (EDWE)","Emden","Analoog"
"118.700000","118.70000","","Groningen Airport Eelde (Tower)","Eelde","Analoog"
"118.72500","118.72500","","Wittmund Tower (Civiel)","Wittmundhafen Air Base","Analoog"
"118.800000","118.80000","","Amsterdam Radar Arrivals via holding SUGOL","Schiphol",""
"118.82500","118.82500","","London Terminal Control (North East Departures)","Landelijk","Analoog"
"118.92500","118.92500","","Vliegveld Schaffen (EBDT) - Schaffen Radio","Schaffen (Diest)","Analoog"
"118.950000","118.95000","","Schiphol Tower Back-up","Schiphol",""
"119.00000","119.00000","","RAF Brize Norton (Aerodrome Traffic Zone)","Brize","Analoog"
"119.05000","119.05000","","Schiphol Approach/Departures TMA East","Schiphol","Analoog"
"119.10833","119.10833","","Langen Radar (Bottrop Sector)","Landelijk","Analoog"
"119.15000","119.15000","","Langen Information","Landelijk","Analoog"
"119.175000","119.17500","","Amsterdam Flight Information Center (Noordzee-Noord)","Landelijk","Analoog"
"119.20000","119.20000","","RAF Coningsby (Approach)","Coningsby","Analoog"
"119.20000","119.20000","","Flugplatz Stadtlohn-Vreden (Stadtlohn Radio)","Stadtlohn","Analoog"
"119.22500","119.22500","","Schiphol Tower Primary RWY 04/22 - 09/27 - 18L/36R","Schiphol","Analoog"
"119.250000","119.25000","","Midden-Zeeland Radio (Aerodrome Information)","Arnemuiden","Analoog"
"119.27500","119.27500","","Liege Approach Primary","Luik","Analoog"
"119.300000","119.30000","","Texel Radio (Aerodrome Information)","De Cocksdorp","Analoog"
"119.3750","119.3750","","KLu schietterrein de Vliehors ","Vlieland","Analoog"
"119.45000","119.45000","","Strasbourg Information","Landelijk","Analoog"
"119.47500","119.47500","","Maastricht-Aachen Airport (Tower)","Beek","Analoog"
"119.50833","119.50833","","Bremen Radar (Hamburg Approach)","Landelijk","Analoog"
"119.62500","119.62500","","Bremen Radar","Landelijk","Analoog"
"119.62500","119.62500","","Beauvechain Precision Approach Radar","Vliegbasis Beauvechain","Analoog"
"119.650000","119.65000","","Drachten Radio (Aerodrome Information)","Drachten","Analoog"
"119.7000","119.7000","","Groningen Airport Eelde (Tower/Regional Guard)","Eelde","Analoog"
"119.7000","119.7000","","Maastricht-Aachen Airport (Tower/Regional Guard)","Beek","Analoog"
"119.700000","119.70000","","ICAO Tower / Regional Guard","Landelijk",""
"119.700000","119.70000","","Rotterdam The Hague Airport (Tower/Regional Guard)","Rotterdam","Analoog"
"119.77500","119.77500","","London Terminal Control (North West Departures)","Landelijk","Analoog"
