"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"10368.920000","10368.92000","","PI7ALK zendamateur bakenzender","Alkmaar",""
"1296.920000","1296.92000","","PI7ALK zendamateur bakenzender","Alkmaar",""
"145.600000","145.00000","88,5","PI3ALK zendamateur relais","Alkmaar",""
"150.487500","","","Schot transportbedrijf","Alkmaar",""
"151.162500","","","Dierenartsen","Alkmaar",""
"151.96875","147.36875","","Boskalis (Bodemaswasinstallatie HVC terrein)","Alkmaar","DMR"
"152.11250","152.11250","C 103,5","Triversum Jeugdzorg","Alkmaar","Analoog"
"152.862500","","","EBC Electronische Beveiligingscentrale","Alkmaar",""
"153.18125","148.58125","C 114,8","Zwembad de Hoornse Vaart","Alkmaar","Analoog"
"159.510000","","","De Vries installatiebedrijf","Alkmaar",""
"159.650000","","","Verkeersschool Bolweg","Alkmaar",""
"161.600000","157.00000","","Marifoon kanaal 20 bruggen","Alkmaar",""
"163.030000","","","Openbare werken Alkmaar","Alkmaar",""
"165.13000","165.13000","","AFAS Stadion (EHBO)","Alkmaar","DMR"
"165.79000","165.79000","C 71,9","Sortiva afval breng- en sorteerplaats Boekelerdijk","Alkmaar","Analoog"
"166.03000","166.03000","C 71,9","HuisVuilCentrale (Buitenterrein)","Alkmaar","Analoog"
"172.60625","168.00625","","Rode Kruis kanaal RV4, Regio Noord-Holland Noord","Alkmaar","DMR encrypted"
"172.68125","168.08125","","Rode Kruis kanaal RV7, Regio Noord-Holland Noord","Alkmaar","DMR encrypted"
"172.78125","168.18125","","Rode Kruis kanaal RV10, Regio Noord-Holland Noord","Alkmaar","DMR encrypted"
"223.750000","","","Lokale omroep Alkmaar Lokaal reportages","Alkmaar",""
"224.650000","","","Lokale omroep Alkmaar Lokaal reportages","Alkmaar",""
"224.875000","","","Lokale omroep Alkmaar Lokaal","Alkmaar",""
"2320.920000","2320.92000","","PI7ALK zendamateur bakenzender","Alkmaar",""
"427.45000","417.45000","XX","Rampenbestrijdingsnet 3A Kanaal 596 waaronder aansturing WAS palen (Luchtalarm) Zender Alkmaar (Veiligheidsregio Noord Holland Noord","Alkmaar","Analoog"
"427.712500","","","Radio Noord-Holland regie","Alkmaar",""
"430.375000","431.97500","88,5","PI2ALK zendamateur relais","Alkmaar",""
"445.537500","","","Rijkswaterstaat DGPS zender","Alkmaar",""
"445.56250","445.56250","","Jos Blom Kraanverhuur","Alkmaar","DMR"
"446.00625","446.00625","C 94.8","AFAS Stadion (Horeca)","Alkmaar","Analoog"
"446.00625","446.00625","C 103.5","Aldi Overstad (Winkelpersoneel)","Alkmaar","Analoog"
"446.00625","446.00625","C 67.0","Action De Mare (Winkelpersoneel)","Alkmaar","Analoog"
"446.01875","446.01875","67.0","Jumbo supermarkt Daalmeer, Johanna Naberstraat (Motorola CLP446 kanaal groen)","Alkmaar","Analoog"
"446.05625","446.05625","C 69.3","MediaMarkt (Winkelpersoneel)","Alkmaar","Analoog"
"446.196870","446.19687","dPMR","Stadswerk072 Afvalbrengstation Kitmanstraat ","Alkmaar",""
"455.75000","455.75000","C 71,9","AFAS Stadion (Verkeersregelaars)","Alkmaar","Analoog"
"455.81000","455.81000","C 127.3","AFAS Stadion (Horeca)","Alkmaar","Analoog"
"455.81000","455.81000","","Theater De Vest","Alkmaar","DMR"
"455.810000","","","BHV Gerechtsgebouw","Alkmaar",""
"455.890000","","","Theater De Vest","Alkmaar",""
"455.910000","","","Horizon College","Alkmaar",""
"455.93000","455.93000","","Vue Bioscoop","Alkmaar","DMR"
"455.93000","455.93000","C 71,9","AFAS Stadion (Stewards AZ)","Alkmaar","Analoog"
"459.470000","459.47000","","Horizon College (BHV)","Alkmaar",""
"461.737500","451.73750","CC?? / TG??","Stadswerk (DMR / Motorola DMR systeem)","Alkmaar",""
"467.27000","457.27000","C 71,9","AFAS Stadion (Stewards AZ)","Alkmaar","Analoog"
"467.31000","457.31000","","Noordwest Ziekenhuisgroep Alkmaar (Beveiliging)","Alkmaar","DMR"
"467.330000","457.33000","","HuisVuilCentrale","Alkmaar","DMR"
"467.350000","457.35000","","HuisVuilCentrale","Alkmaar","DMR"
"467.390000","457.39000","","HuisVuilCentrale","Alkmaar","DMR"
"468.390000","","","Stadsontwikkeling en beheer Alkmaar","Alkmaar",""
