"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"118.800000","118.80000","","Amsterdam Radar Arrivals via holding SUGOL","Schiphol",""
"119.175000","119.17500","","Amsterdam Flight Information Center (Noordzee-Noord)","Landelijk","Analoog"
"120.550000","120.55000","","Amsterdam Radar Arrivals via holding ARTIP","Schiphol",""
"123.700000","123.70000","","Amsterdam ACC Radar sector 5 (Noord-West)","Schiphol",""
"123.850000","123.85000","","Amsterdam ACC Radar sector 3 (Zuid)","Schiphol",""
"124.300000","124.30000","","Amsterdam Flight Information Center (Over land)","Landelijk","Analoog"
"124.875000","124.87500","","Amsterdam ACC Radar sector 2 (Oost outbound)","Schiphol",""
"125.750000","125.75000","","Amsterdam ACC Radar sector 4 (Zuid-West)","Schiphol",""
"126.2000","126.2000","","VOLMET: Amsterdam Met Broadcast","Schiphol","Analoog"
"127.775000","127.77500","","Amsterdam Radar Arrivals via holding RIVER","Schiphol",""
"128.50000","128.50000","","Amsterdam Flight Information Center (Noordzee-Zuid)","Landelijk","Analoog"
"128.575000","128.57500","","Amsterdam ACC Radar sector 2 (Oost inbound)","Schiphol",""
"129.97500","129.97500","","Amsterdamsche Club Voor Zweefvliegen","Soesterberg","Analoog"
"1296.637500","432.53750","","PI6ASD zendamateur relais","Amsterdam",""
"130.950000","130.95000","","Amsterdam ACC Radar sector 3 (Zuid inbound)","Schiphol",""
"131.50000","131.50000","","Amsterdam Heliport","Amsterdam","Analoog"
"131.57500","131.57500","","Aviapartner Groundhandling Amsterdam","Schiphol","Analoog"
"131.59166","131.59166","","Viggo Groundhandling Amsterdam","Schiphol","Analoog"
"131.62500","131.62500","","Jet Aviation Amsterdam (Fixed-Base Operator)","Schiphol","Analoog"
"134.375000","134.37500","","Amsterdam ACC Radar sector 1 (Noord)","Schiphol",""
"135.97500","135.97500","","Amsterdam Heliport (Pilot Controlled Lighting)","Amsterdam","Analoog"
"145.78750","145.18750","C 110,9","2 Meter Radiozendamateur Repeaterstation PI1ASD","Amsterdam","Analoog"
"148.612500","","","Kerkradio PKN","Nieuw Amsterdam",""
"151.387500","","","Bootlieden Vereniging De Koperen Ploeg","Amsterdam",""
"151.937500","","","Waternet brugwachters Amstel","Amsterdam",""
"152.037500","152.03750","C 82,5","Madame Tussaud","Amsterdam","Analoog"
"152.037500","","","Brugwachters Kostverlorenvaart (reserve)","Amsterdam",""
"152.112500","","210,7","ProRail Verkeersleiding BHV","Amsterdam",""
"152.712500","","","Onbekend havenbderijf","Amsterdam",""
"154.88750","150.28750","","Natuurgebied Amsterdamse Waterleidingduinen","Vogelenzang","NXDN"
"155.88750","155.88750","","Rederij Kooy en Rederij Plas Rondvaartboten","Amsterdam","Analoog"
"156.425000","156.42500","","Marifoon Kanaal 68 VTS Amsterdam sector Meldpunt Verkeer","Amsterdam","Analoog"
"156.47500","156.47500","","Marifoonkanaal 69, Grachten/Binnenwateren","Amsterdam","Analoog"
"156.575000","156.5750","","Marifoon Kanaal 71 VTS Amsterdam sector Haven Beverwijk","Beverwijk","Analoog"
"156.600000","156.60000","","Marifoon Kanaal 12 VTS Amsterdam sector Zeehaven IJmuiden","IJmuiden","Analoog"
"156.70000","156.70000","","Marifoonkanaal 14, VTS Amsterdam sector Meldpunt Haven","Amsterdam","Analoog"
"158.390000","","","Onbekend havenbedrijf","Amsterdam",""
"160.270000","","","Steenkorrel Recycling","Amsterdam",""
"160.62500","156.02500","","Marifoonkanaal 60, Verkeerspost Schellingwoude (Sector Schellingwoude)","Amsterdam","Analoog"
