"rx","tx","ctcss/dsc","omschrijving","plaats","groep"
"163.750000","159.15000","","Abe Lenstra Stadion kanaal 2 (parkeer en verkeer)","Heerenveen",""
"166.190000","166.19000","C 179.9","Stadsparkeerplan","Leiden","Analoog"
"170.550000","","","Parkeergarage","Leeuwarden",""
"170.590000","","","Kyocera Stadion (Servicemedewerkers / Parkeerdienst)","Den Haag",""
"172.970000","168.37000","110,9","Gassan Diamonds telefoonkoppeling portier/slagboom parkeergarage","Amsterdam",""
"446.031250","446.031250","103,5","Toverland Parkeerwachters","Sevenum","Analoog"
"446.081250","446.08125","","Pantar toezicht op geparkeerde voertuigen Arena","Amsterdam",""
"455.810000","455.81000","","Voetbalstadion FC Emmen (Verkeersregelaars/Parkeerbeheer)","Emmen",""
"456.010000","","100,0","Toezicht/parkeerbeheer/EHBO Henschotermeer","Woudenberg",""
"461.162500","451.16250","CC?? / TG??","Parkeerbeheer (DMR / DMR)","Hoorn",""
"464.887500","","","Parkeer Politie cq Handhaving","Venray",""
"465.00000","455.00000","","Parkeertoezicht ArenA gebied","Amsterdam","DMR"
"467.270000","457.27000","91,5","Parkeer Combinatie Holland","Heerenveen",""
"467.270000","457.27000","71,9","Parkeerbeheer","Leeuwarden",""
"467.310000","457.31000","79,7 Hz","Toezicht/parkeerbeheer/EHBO Henschotermeer","Woudenberg",""
"467.330000","457.33000","","Parkeerwachters","Eindhoven",""
"468.610000","","","Dienst Parkeerbeheer","Eindhoven",""
"469.470000","459.47000","114,8","Maxima Ziekenhuis bewaking/parkeerbeheer Eindhoven","Eindhoven",""
"469.530000","459.53000","","Stadion De Galgenwaard (Parkeerbeheer/Verkeersregelaars)","Utrecht","DMR"
